Codes,Picture,Family,Gruppo Prodotto,Product Name,Description EN,Description IT,Description ES,Description DE,Description FR,Description PT,EAN,Launch Date,"BOM without labor cost 
(lotti da 500 pz)",Purchases shipp. and cust.,"Labour Cost 
(24 €/h)",Production Cost,% Annual Fail rate,1 year backend cost,% Markup,Radice,1-PHASE,3-PHASE,TYPE 1,TYPE 2,CABLE 5 m,CABLE 7 m,SOCKET,ISO 15-118,LCD screen,RFID,RCBO (P),POP + SPD,MID,SCHUKO ,Status
DK01IT32M7P,,AC Chargers,Dazebox Home,Dazebox Home TK,"Dazebox Home TK single-phase 32 A, 7.4 kW, 7 m Type 2 cable with connector holder, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil","Dazebox Home TK monofase 32 A, 7,4 kW, cavo 7 m tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata",,"Dazebox Home TK einphasig 32 A, 7,4 kW, 7 m Typ-2-Kabel mit Steckdosenhalter, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter thermomagnetischer FI/LS-Schutz (RCBO), integrierte Auslösespule","Dazebox Home TK monophasé 32 A, 7,4 kW, câble Type 2 de 7 m avec support de connecteur, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle (RCBO) intégrée, bobine de déclenchement intégrée",,8054320762669,March 2026,"€ 213,55","€ 3,42","€ 21,10","€ 238,07","1,5%","€ 2,50","32,0%",Italy,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Active
DK01IT32T5P,,AC Chargers,Dazebox Home,Dazebox Home TK,,"Dazebox Home TK trifase 32 A, 22,2 kW, cavo 5 m tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata",,,,,8054320763765,November 2024,"€ 264,18","€ 3,42","€ 21,10","€ 288,70","1,5%","€ 2,50",,Italy,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Inactive
DK01IT32T7P,,AC Chargers,Dazebox Home,Dazebox Home TK,"Dazebox Home TK three-phase 32 A, 22.2 kW, 7 m Type 2 cable with connector holder, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil","Dazebox Home TK trifase 32 A, 22,2 kW, cavo 7 m tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata",,"Dazebox Home TK dreiphasig 32 A, 22,2 kW, 7 m Typ-2-Kabel mit Steckdosenhalter, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter thermomagnetischer FI/LS-Schutz (RCBO), integrierte Auslösespule","Dazebox Home TK triphasé 32 A, 22,2 kW, câble Type 2 de 7 m avec support de connecteur, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle (RCBO) intégrée, bobine de déclenchement intégrée",,8054320763772,March 2026,"€ 276,36","€ 3,42","€ 21,10","€ 300,88","1,5%","€ 2,50","30,0%",Italy,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Active
DK01IT32MP5S,,AC Chargers,Dazebox Home,Dazebox Home TK,"Dazebox Home TK single-phase 32 A, 7.4 kW, 5 m coiled Type 2 cable with connector holder, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil, white cover.","Dazebox Home TK monofase 32 A, 7,4 kW, cavo 5 m spiralato tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata, cover bianca",,"Dazebox Home TK einphasig 32 A, 7,4 kW, spiralförmiges Typ-2-Kabel 5 m mit Steckhalter, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter RCBO-Schutz, integrierte Auslösespule, weiße cover","Dazebox Home TK monophasé 32 A, 7,4 kW, câble spiralé type 2 de 5 m avec support de connecteur, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle intégrée, cover blanche",,8054320764601,September 2025,"€ 217,35","€ 3,42","€ 21,10","€ 241,87","1,5%","€ 2,50","32,0%",Italy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Active
DK01IT32TP5S,,AC Chargers,Dazebox Home,Dazebox Home TK,"Dazebox Home TK three-phase 32 A, 22.2 kW, 5 m coiled Type 2 cable with connector holder, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil, white cover.","Dazebox Home TK trifase 32 A, 22,2 kW, cavo 5 m spiralato tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata, cover bianca",,"Dazebox Home TK dreiphasig 32 A, 22,2 kW, spiralförmiges Typ-2-Kabel 5 m mit Steckhalter, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter RCBO-Schutz, integrierte Auslösespule, weiße cover","Dazebox Home TK triphasé 32 A, 22,2 kW, câble spiralé type 2 de 5 m avec support de connecteur, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle intégrée, cover blanche",,8054320764618,September 2025,"€ 281,98","€ 3,42","€ 21,10","€ 306,50","1,5%","€ 2,50","30,0%",Italy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Active
DS01IT32MP,,AC Chargers,Dazebox Home,Dazebox Home SK,"Dazebox Home SK single-phase 32 A, 7.4 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil, white cover.","Dazebox Home SK monofase 32 A, 7,4 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata, cover bianca",,"Dazebox Home SK einphasig 32 A, 7,4 kW, Typ-2-Steckdose, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter RCBO-Schutz, integrierte Auslösespule, weiße cover","Dazebox Home SK monophasé 32 A, 7,4 kW, prise type 2, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle intégrée, cover blanche",,8054320762690,November 2024,"€ 198,73","€ 4,30","€ 21,10","€ 224,13","1,5%","€ 2,50","36,0%",Italy,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Active
DS01IT32TP,,AC Chargers,Dazebox Home,Dazebox Home SK,"Dazebox Home SK three-phase 32 A, 22.2 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated thermal-magnetic residual current protection, integrated shunt trip coil, white cover.","Dazebox Home SK trifase 32 A, 22,2 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata, cover bianca",,"Dazebox Home SK dreiphasig 32 A, 22,2 kW, Typ-2-Steckdose, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierter RCBO-Schutz, integrierte Auslösespule, weiße cover","Dazebox Home SK triphasé 32 A, 22,2 kW, prise type 2, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, protection magnétothermique différentielle intégrée, cover blanche",,8054320763789,November 2024,"€ 247,59","€ 4,30","€ 21,10","€ 272,99","1,5%","€ 2,50","34,0%",Italy,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Active
DT01DE16T5,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T three-phase 16 A, 11.1 kW, 5 m type 2 cable, monochrome display, Bluetooth, WiFi, and Ethernet connectivity, RFID reader, white cover","Dazebox Home SK trifase 16 A, 11,1 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, cover bianca",,"Dazebox Home T dreiphasig 16 A, 11,1 kW, Typ-2-Kabel 5 m, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, weiße cover","Dazebox Home T triphasé 16 A, 11,1 kW, câble type 2 de 5 m, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320764069,March 2024,"€ 188,20","€ 3,15","€ 11,10","€ 202,45","1,5%","€ 2,50","35,0%",DACH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Active
DT01ES32M51,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T monofásica 32 A, 7,4 kW, cable de 5 m tipo 1, display monocromatico, conectividad Bluetooth, WiFi y Ethernet, lector RFID, autorrearme del contador integrado",,,,,,8054320761440,February 2024,"€ 171,95","€ 3,15","€ 11,10","€ 186,20","1,5%","€ 2,50","41,0%",Spain,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Inactive
DT01ES32M5,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T single-phase 32 A, 7.4 kW, 5 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home T monofase 32 A, 7,4 kW, cavo tipo 2 da 5 m, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home T monofásica 32 A, 7,4 kW, cable 5 m tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home T monofásica 32 A, 7,4 kW, cabo de 5 m tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760825,May 2023,"€ 158,19","€ 3,15","€ 11,10","€ 172,43","1,5%","€ 2,50","41,0%",Spain,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01ES32M7,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T single-phase 32 A, 7.4 kW, 7 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home T monofase 32 A, 7,4 kW, cavo tipo 2 da 7 m, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home T monofásica 32 A, 7,4 kW, cable 7 m tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home T monofásica 32 A, 7,4 kW, cabo de 7 m tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760832,May 2023,"€ 171,60","€ 3,15","€ 11,10","€ 185,84","1,5%","€ 2,50","41,0%",Spain,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01ES32T5,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T three-phase 32 A, 22.2 kW, 5 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home T trifase 32 A, 22,2 kW, cavo tipo 2 da 5 m, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home T trifásica 32 A, 22,2 kW, cable 5 m tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home T trifásica 32 A, 22,2 kW, cabo de 5 m tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760849,May 2023,"€ 189,15","€ 3,15","€ 11,10","€ 203,40","1,5%","€ 2,50","39,0%",Spain,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01ES32T7,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T three-phase 32 A, 22.2 kW, 7 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home T trifase 32 A, 22,2 kW, cavo tipo 2 da 7 m, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home T trifásica 32 A, 22,2 kW, cable 7 m tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home T trifásica 32 A, 22,2 kW, cabo de 7 m tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760856,May 2023,"€ 209,11","€ 3,15","€ 11,10","€ 223,36","1,5%","€ 2,50","39,0%",Spain,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DS01ES32M,,AC Chargers,Dazebox Home,Dazebox Home S,"Dazebox Home S single-phase 32 A, 7.4 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home S monofase 32 A, 7,4 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home S monofásica 32 A, 7,4 kW, toma tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home S monofásica 32 A, 7,4 kW, tomada tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760863,May 2023,"€ 166,62","€ 4,03","€ 11,10","€ 181,75","1,5%","€ 2,50","39,0%",Spain,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DS01ES32T,,AC Chargers,Dazebox Home,Dazebox Home S,"Dazebox Home S three-phase 32 A, 22.2 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated automatic meter reset, white cover.","Dazebox Home S trifase 32 A, 22,2 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi ed Ethernet, lettore RFID, riarmo automatico del contatore integrato, cover bianca","Dazebox Home S trifásica 32 A, 22,2 kW, toma tipo 2, pantalla monocromática, conectividad Bluetooth, WiFi y Ethernet, lector RFID, rearme automático del contador integrado, carcasa blanca",,,"Dazebox Home S trifásica 32 A, 22,2 kW, tomada tipo 2, display monocromático, conectividade Bluetooth, WiFi e Ethernet, leitor RFID, rearme automático do contador integrado, cover branca",8054320760870,May 2023,"€ 186,83","€ 4,03","€ 11,10","€ 201,96","1,5%","€ 2,50","37,0%",Spain,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
